date,store_id,item_id,cat_id,dept_id,units_sold,sell_price,holiday_promotion,event_name_1
2011-01-29,CA_1,FOODS_2_019,FOODS,FOODS_2,15,2.98,0,
2011-01-30,CA_1,FOODS_2_019,FOODS,FOODS_2,27,2.98,0,
2011-01-31,CA_1,FOODS_2_019,FOODS,FOODS_2,18,2.98,0,
2011-02-01,CA_1,FOODS_2_019,FOODS,FOODS_2,29,2.98,1,
2011-02-02,CA_1,FOODS_2_019,FOODS,FOODS_2,23,2.98,1,
2011-02-03,CA_1,FOODS_2_019,FOODS,FOODS_2,20,2.98,1,
2011-02-04,CA_1,FOODS_2_019,FOODS,FOODS_2,2,2.98,1,
2011-02-05,CA_1,FOODS_2_019,FOODS,FOODS_2,2,2.98,1,
2011-02-06,CA_1,FOODS_2_019,FOODS,FOODS_2,44,2.98,1,SuperBowl
2011-02-07,CA_1,FOODS_2_019,FOODS,FOODS_2,14,2.98,1,
2011-02-08,CA_1,FOODS_2_019,FOODS,FOODS_2,24,2.98,1,
2011-02-09,CA_1,FOODS_2_019,FOODS,FOODS_2,0,2.98,1,
2011-02-10,CA_1,FOODS_2_019,FOODS,FOODS_2,25,2.98,1,
2011-02-11,CA_1,FOODS_2_019,FOODS,FOODS_2,28,2.98,0,
2011-02-12,CA_1,FOODS_2_019,FOODS,FOODS_2,25,2.98,0,
2011-02-13,CA_1,FOODS_2_019,FOODS,FOODS_2,15,2.98,0,
2011-02-14,CA_1,FOODS_2_019,FOODS,FOODS_2,0,2.98,1,ValentinesDay
2011-02-15,CA_1,FOODS_2_019,FOODS,FOODS_2,23,2.98,0,
2011-02-16,CA_1,FOODS_2_019,FOODS,FOODS_2,5,2.98,0,
2011-02-17,CA_1,FOODS_2_019,FOODS,FOODS_2,4,2.98,0,
2011-02-18,CA_1,FOODS_2_019,FOODS,FOODS_2,16,2.98,0,
2011-02-19,CA_1,FOODS_2_019,FOODS,FOODS_2,26,2.98,0,
2011-02-20,CA_1,FOODS_2_019,FOODS,FOODS_2,25,2.98,0,
2011-02-21,CA_1,FOODS_2_019,FOODS,FOODS_2,5,2.98,1,PresidentsDay
2011-02-22,CA_1,FOODS_2_019,FOODS,FOODS_2,0,2.98,0,
2011-02-23,CA_1,FOODS_2_019,FOODS,FOODS_2,6,2.98,0,
2011-02-24,CA_1,FOODS_2_019,FOODS,FOODS_2,1,2.98,0,
2011-02-25,CA_1,FOODS_2_019,FOODS,FOODS_2,8,2.98,0,
2011-02-26,CA_1,FOODS_2_019,FOODS,FOODS_2,0,2.98,0,
2011-02-27,CA_1,FOODS_2_019,FOODS,FOODS_2,19,2.98,0,
2011-02-28,CA_1,FOODS_2_019,FOODS,FOODS_2,6,2.98,0,
2011-03-01,CA_1,FOODS_2_019,FOODS,FOODS_2,8,2.98,1,
2011-03-02,CA_1,FOODS_2_019,FOODS,FOODS_2,1,2.98,1,
2011-03-03,CA_1,FOODS_2_019,FOODS,FOODS_2,7,2.98,1,
2011-03-04,CA_1,FOODS_2_019,FOODS,FOODS_2,8,2.98,1,
2011-03-05,CA_1,FOODS_2_019,FOODS,FOODS_2,24,2.98,1,
2011-03-06,CA_1,FOODS_2_019,FOODS,FOODS_2,16,2.98,1,
2011-03-07,CA_1,FOODS_2_019,FOODS,FOODS_2,23,2.98,1,
2011-03-08,CA_1,FOODS_2_019,FOODS,FOODS_2,42,2.98,1,
2011-03-09,CA_1,FOODS_2_019,FOODS,FOODS_2,37,2.98,1,LentStart
2011-03-10,CA_1,FOODS_2_019,FOODS,FOODS_2,42,2.98,1,
2011-03-11,CA_1,FOODS_2_019,FOODS,FOODS_2,27,2.98,0,
2011-03-12,CA_1,FOODS_2_019,FOODS,FOODS_2,36,2.98,0,
2011-03-13,CA_1,FOODS_2_019,FOODS,FOODS_2,49,2.98,0,
